particle,rPos,h2oDens,concDens,linerR,h2oDens concDens ,h2oDens linerR ,concDens linerR ,h2oDens concDens linerR,,,,,,,,,,,,,,,,
neutron,237.6,9.46E-01,4.51E-03,2.22E-02,4.37E-03,2.00E-03,1.05E-02,1.01E-02,,,,,,,,,,,,,,,,
neutron,240.8,8.92E-01,6.04E-02,1.95E-02,6.72E-03,1.90E-03,7.73E-03,1.21E-02,,,,,,,,,,,,,,,,
neutron,244,7.78E-01,1.74E-01,1.71E-02,1.35E-02,1.96E-03,4.73E-03,1.08E-02,,,,,,,,,,,,,,,,
neutron,247.2,6.55E-01,3.04E-01,7.19E-03,1.83E-02,1.60E-03,3.73E-03,9.88E-03,,,,,,,,,,,,,,,,
neutron,250.4,5.51E-01,4.05E-01,4.04E-03,2.44E-02,1.58E-03,2.49E-03,1.22E-02,,,,,,,,,,,,,,,,
neutron,253.6,4.62E-01,5.00E-01,1.74E-03,2.65E-02,1.54E-03,3.48E-03,5.47E-03,,,,,,,,,,,,,,,,
neutron,256.8,3.88E-01,5.60E-01,5.34E-04,3.52E-02,1.47E-03,3.92E-03,1.16E-02,,,,,,,,,,,,,,,,
neutron,260,3.51E-01,6.03E-01,4.87E-04,3.47E-02,2.21E-03,2.10E-03,5.98E-03,,,,,,,,,,,,,,,,
neutron,263.2,2.84E-01,6.67E-01,4.48E-03,3.26E-02,3.11E-03,2.97E-03,5.14E-03,,,,,,,,,,,,,,,,
neutron,266.4,2.79E-01,6.68E-01,7.90E-03,3.07E-02,2.54E-03,4.64E-03,7.27E-03,,,,,,,,,,,,,,,,
neutron,269.6,2.46E-01,6.94E-01,1.23E-02,3.01E-02,4.63E-03,2.72E-03,9.61E-03,,,,,,,,,,,,,,,,
neutron,272.8,2.55E-01,6.85E-01,9.03E-03,2.92E-02,5.56E-03,3.68E-03,1.28E-02,,,,,,,,,,,,,,,,
neutron,276,2.40E-01,6.99E-01,9.32E-03,3.18E-02,2.32E-03,2.60E-03,1.41E-02,,,,,,,,,,,,,,,,
neutron,279.2,1.99E-01,7.43E-01,9.13E-03,2.94E-02,2.24E-03,7.66E-03,9.27E-03,,,,,,,,,,,,,,,,
neutron,282.4,1.72E-01,7.72E-01,9.06E-03,2.79E-02,3.35E-03,4.81E-03,1.01E-02,,,,,,,,,,,,,,,,
neutron,285.6,1.59E-01,7.90E-01,5.70E-03,2.67E-02,3.44E-03,8.03E-03,6.87E-03,,,,,,,,,,,,,,,,
neutron,288.8,1.61E-01,7.66E-01,7.55E-03,2.94E-02,5.54E-03,1.34E-02,1.66E-02,,,,,,,,,,,,,,,,
neutron,292,1.46E-01,7.82E-01,8.48E-03,2.90E-02,3.01E-03,1.10E-02,2.06E-02,,,,,,,,,,,,,,,,
neutron,295.2,1.32E-01,7.92E-01,1.06E-02,2.59E-02,2.95E-03,1.57E-02,2.12E-02,,,,,,,,,,,,,,,,
neutron,298.4,1.23E-01,7.90E-01,1.06E-02,2.51E-02,2.57E-03,2.02E-02,2.84E-02,,,,,,,,,,,,,,,,
photon,237.6,8.02E-01,2.70E-02,2.95E-02,5.73E-02,1.35E-02,1.73E-02,5.30E-02,,,,,,,,,,,,,,,,
photon,240.8,8.48E-01,7.57E-03,3.13E-02,2.41E-02,1.38E-02,3.41E-02,4.09E-02,,,,,,,,,,,,,,,,
photon,244,8.97E-01,3.41E-03,2.68E-02,1.30E-02,1.14E-02,1.86E-02,2.94E-02,,,,,,,,,,,,,,,,
photon,247.2,9.35E-01,8.54E-03,1.62E-02,7.37E-03,3.63E-03,5.85E-03,2.36E-02,,,,,,,,,,,,,,,,
photon,250.4,9.23E-01,2.70E-02,1.88E-02,6.84E-03,2.60E-03,7.70E-03,1.37E-02,,,,,,,,,,,,,,,,
photon,253.6,8.75E-01,6.97E-02,1.71E-02,4.30E-03,4.83E-03,9.14E-03,1.99E-02,,,,,,,,,,,,,,,,
photon,256.8,8.45E-01,1.10E-01,1.04E-02,7.80E-03,4.70E-03,7.45E-03,1.43E-02,,,,,,,,,,,,,,,,
photon,260,7.76E-01,1.81E-01,5.52E-03,7.85E-03,5.67E-03,1.16E-02,1.30E-02,,,,,,,,,,,,,,,,
photon,263.2,7.02E-01,2.49E-01,8.28E-03,1.11E-02,2.94E-03,1.40E-02,1.26E-02,,,,,,,,,,,,,,,,
photon,266.4,6.12E-01,3.55E-01,3.50E-03,1.53E-02,2.97E-03,3.78E-03,7.30E-03,,,,,,,,,,,,,,,,
photon,269.6,5.41E-01,4.19E-01,6.90E-04,1.64E-02,8.90E-03,4.64E-03,9.22E-03,,,,,,,,,,,,,,,,
photon,272.8,4.80E-01,4.77E-01,1.96E-03,2.60E-02,4.04E-03,3.61E-03,7.82E-03,,,,,,,,,,,,,,,,
photon,276,4.00E-01,5.54E-01,5.30E-04,2.47E-02,3.84E-03,7.08E-03,9.88E-03,,,,,,,,,,,,,,,,
photon,279.2,3.63E-01,5.91E-01,3.22E-03,2.51E-02,5.02E-03,5.87E-03,7.02E-03,,,,,,,,,,,,,,,,
photon,282.4,3.13E-01,6.40E-01,8.59E-04,2.64E-02,7.16E-03,3.49E-03,9.17E-03,,,,,,,,,,,,,,,,
photon,285.6,2.87E-01,6.62E-01,8.60E-04,2.78E-02,7.17E-03,4.06E-03,1.08E-02,,,,,,,,,,,,,,,,
photon,288.8,2.68E-01,6.80E-01,1.49E-03,2.37E-02,8.56E-03,3.43E-03,1.48E-02,,,,,,,,,,,,,,,,
photon,292,2.34E-01,7.05E-01,1.36E-03,2.85E-02,7.22E-03,7.12E-03,1.73E-02,,,,,,,,,,,,,,,,
photon,295.2,2.13E-01,7.16E-01,1.15E-03,3.97E-02,1.44E-02,2.87E-03,1.27E-02,,,,,,,,,,,,,,,,
photon,298.4,2.13E-01,6.91E-01,2.34E-03,4.51E-02,1.66E-02,5.99E-03,2.62E-02,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
